date,open,high,low,close,ffr,nfp,y,arah
1/21/2016,1103.599976,1121.699951,1094.099976,1116.099976,0.5,269,1141.300049,Naik
1/28/2016,1125.400024,1146,1108.800049,1141.300049,0.5,269,1194.699951,Naik
2/4/2016,1142.5,1200.400024,1141,1194.699951,0.5,269,1211.099976,Naik
2/11/2016,1205.599976,1260.800049,1193.599976,1211.099976,0.5,133,1238.699951,Naik
2/18/2016,1209.599976,1250.099976,1201.599976,1238.699951,0.5,133,1241.099976,Naik
2/25/2016,1239.400024,1248.400024,1212.199951,1241.099976,0.5,133,1256.599976,Naik
3/3/2016,1238.400024,1279.900024,1238,1256.599976,0.5,133,1229.300049,Turun
3/10/2016,1250,1280.699951,1228,1229.300049,0.5,196,1223.699951,Turun
3/17/2016,1261.5,1270.099976,1218.599976,1223.699951,0.5,196,1226.900024,Naik
3/24/2016,1214.199951,1245,1210,1226.900024,0.5,196,1222.5,Turun
3/31/2016,1225.599976,1239.599976,1209.199951,1222.5,0.5,196,1246.800049,Naik
4/7/2016,1224.800049,1261.699951,1224.599976,1246.800049,0.5,256,1253.199951,Naik
4/14/2016,1231.400024,1256.199951,1224.5,1253.199951,0.5,256,1249.199951,Turun
4/21/2016,1247.699951,1270.599976,1228,1249.199951,0.5,256,1273.300049,Naik
4/28/2016,1245.900024,1304.400024,1238.5,1273.300049,0.5,256,1274.599976,Naik
5/5/2016,1282.900024,1295.599976,1258.699951,1274.599976,0.5,256,1273.699951,Turun
5/12/2016,1267,1287.800049,1256.800049,1273.699951,0.5,192,1223.5,Turun
5/19/2016,1248,1256.599976,1218.599976,1223.5,0.5,192,1211.900024,Turun
5/26/2016,1232.599976,1232.599976,1199,1211.900024,0.5,192,1259.800049,Naik
6/2/2016,1212.400024,1264,1206.400024,1259.800049,0.5,192,1285.800049,Naik
6/9/2016,1262.5,1296.199951,1258.099976,1285.800049,0.5,46,1268,Turun
6/16/2016,1296.300049,1316.400024,1264.900024,1268,0.5,46,1323.900024,Naik
6/23/2016,1263.400024,1355.599976,1253.699951,1323.900024,0.5,46,1364.900024,Naik
6/30/2016,1315.800049,1374.900024,1314.5,1364.900024,0.5,46,1342.400024,Turun
7/7/2016,1366.800049,1371.800049,1330.300049,1342.400024,0.5,247,1318.800049,Turun
7/14/2016,1341.400024,1341.400024,1315.5,1318.800049,0.5,247,1326.599976,Naik
7/21/2016,1312.800049,1330.699951,1312.800049,1326.599976,0.5,247,1356.099976,Naik
7/28/2016,1339.5,1366,1325.800049,1356.099976,0.5,247,1344.300049,Turun
8/4/2016,1354.400024,1361.599976,1327.800049,1344.300049,0.5,247,1342.699951,Turun
8/11/2016,1341.599976,1355,1333.199951,1342.699951,0.5,373,1324.400024,Turun
8/18/2016,1351.300049,1354.400024,1322.900024,1324.400024,0.5,373,1306.900024,Turun
8/25/2016,1321.400024,1340.5,1306.300049,1306.900024,0.5,373,1344.300049,Naik
9/1/2016,1305.300049,1350.5,1301.5,1344.300049,0.5,373,1321.5,Turun
9/8/2016,1344.800049,1345.400024,1315,1321.5,0.5,141,1326.900024,Naik
9/15/2016,1320.699951,1326.900024,1305.800049,1326.900024,0.5,141,1319.400024,Turun
9/22/2016,1338.599976,1341.800049,1319.400024,1319.400024,0.5,141,1265.199951,Turun
9/29/2016,1321.199951,1327.699951,1261.300049,1265.199951,0.5,141,1251.099976,Turun
10/6/2016,1265.300049,1265.300049,1248.900024,1251.099976,0.5,141,1267.900024,Naik
10/13/2016,1258.699951,1271.5,1249.900024,1267.900024,0.5,306,1264.800049,Turun
10/20/2016,1270,1274.099976,1261.800049,1264.800049,0.5,306,1306.800049,Naik
10/27/2016,1269.400024,1307,1262,1306.800049,0.5,306,1272.599976,Turun
11/3/2016,1296.400024,1318.599976,1270,1272.599976,0.5,306,1223.400024,Turun
11/10/2016,1274.400024,1287.5,1210.400024,1223.400024,0.5,98,1189.099976,Turun
11/17/2016,1224.599976,1225,1186.800049,1189.099976,0.5,98,1170.800049,Turun
11/24/2016,1177,1194.800049,1167.900024,1170.800049,0.5,98,1175,Naik
12/1/2016,1172.699951,1186.699951,1157,1175,0.5,98,1161.300049,Turun
12/8/2016,1173.800049,1177.800049,1142,1161.300049,0.5,118,1131.099976,Turun
12/15/2016,1139.800049,1143.300049,1123.900024,1131.099976,0.75,118,1139.400024,Naik
12/22/2016,1131.199951,1142.199951,1128.300049,1139.400024,0.75,118,1163.800049,Naik
12/29/2016,1143.800049,1165,1143.599976,1163.800049,0.75,118,1195.599976,Naik
1/5/2017,1172,1197,1171.5,1195.599976,0.75,118,1211.300049,Naik
1/12/2017,1192.699951,1214.699951,1187.699951,1211.300049,0.75,225,1197.300049,Turun
1/19/2017,1200.5,1219,1194.900024,1197.300049,0.75,225,1205.599976,Naik
1/26/2017,1199.699951,1214.699951,1185.599976,1205.599976,0.75,225,1237.599976,Naik
2/2/2017,1209.699951,1243.900024,1206.199951,1237.599976,0.75,225,1231.699951,Turun
2/9/2017,1239.400024,1243.5,1217.300049,1231.699951,0.75,220,1232,Naik
2/16/2017,1234.5,1241.199951,1228.099976,1232,0.75,220,1248.900024,Naik
2/23/2017,1236.099976,1263.099976,1236.099976,1248.900024,0.75,220,1208.5,Turun
3/2/2017,1247.199951,1247.599976,1206.699951,1208.5,0.75,220,1200.099976,Turun
3/9/2017,1204.5,1221.199951,1196.199951,1200.099976,0.75,218,1249.300049,Naik
3/16/2017,1222.199951,1249.5,1222.199951,1249.300049,1,218,1253.400024,Naik
3/23/2017,1246.400024,1257.699951,1244.800049,1253.400024,1,218,1245.400024,Turun
3/30/2017,1253.099976,1260.300049,1238.699951,1245.400024,1,218,1275.300049,Naik
4/6/2017,1256.099976,1285.099976,1246.800049,1275.300049,1,218,1281.400024,Naik
4/13/2017,1285.300049,1294.800049,1274,1281.400024,1,124,1262.099976,Turun
4/20/2017,1279.699951,1287.400024,1262.099976,1262.099976,1,124,1246.400024,Turun
4/27/2017,1266.699951,1269.300049,1238.699951,1246.400024,1,124,1217.300049,Turun
5/4/2017,1239.800049,1239.800049,1214,1217.300049,1,124,1257.5,Naik
5/11/2017,1218.5,1259.199951,1218.300049,1257.5,1,205,1252.400024,Turun
5/18/2017,1254.800049,1261.599976,1245.800049,1252.400024,1,205,1272,Naik
5/25/2017,1257.099976,1273.199951,1255.800049,1272,1,205,1290.099976,Naik
6/1/2017,1268,1295.199951,1259,1290.099976,1,205,1272.800049,Turun
6/8/2017,1285.400024,1287.599976,1256.800049,1272.800049,1,205,1243.400024,Turun
6/15/2017,1263.199951,1264.199951,1240,1243.400024,1.25,205,1248,Naik
6/22/2017,1251,1273.599976,1241.599976,1248,1.25,205,1220.400024,Turun
6/29/2017,1248.199951,1250.699951,1217.099976,1220.400024,1.25,205,1218.099976,Turun
7/6/2017,1225.099976,1225.099976,1208.599976,1218.099976,1.25,205,1241.199951,Naik
7/13/2017,1221.400024,1241.199951,1214.800049,1241.199951,1.25,203,1249,Naik
7/20/2017,1236.599976,1256,1236.599976,1249,1.25,203,1271.800049,Naik
7/27/2017,1259.599976,1273.300049,1256.900024,1271.800049,1.25,203,1273,Naik
8/3/2017,1265.900024,1277.800049,1251.400024,1273,1.25,203,1276.900024,Naik
8/10/2017,1276.599976,1291.099976,1267.400024,1276.900024,1.25,189,1288.900024,Naik
8/17/2017,1283.800049,1300.699951,1283.199951,1288.900024,1.25,189,1308.099976,Naik
8/24/2017,1288.699951,1323.800049,1280.300049,1308.099976,1.25,189,1333.900024,Naik
8/31/2017,1306.599976,1340.300049,1301.699951,1333.900024,1.25,189,1323.400024,Turun
9/7/2017,1336.400024,1355.800049,1323.400024,1323.400024,1.25,147,1312,Turun
9/14/2017,1319.599976,1329.300049,1298.699951,1312,1.25,147,1283.400024,Turun
9/21/2017,1299.099976,1309.199951,1283.400024,1283.400024,1.25,147,1273.699951,Turun
9/28/2017,1283.099976,1289.400024,1268.599976,1273.699951,1.25,147,1285.800049,Naik
10/5/2017,1277.800049,1293,1260.5,1285.800049,1.25,147,1279.900024,Turun
10/12/2017,1291.5,1303.800049,1279.900024,1279.900024,1.25,89,1275.400024,Turun
10/19/2017,1286.400024,1286.900024,1269.900024,1275.400024,1.25,89,1274.099976,Turun
10/26/2017,1273.5,1274.800049,1264.699951,1274.099976,1.25,89,1281.599976,Naik
11/2/2017,1274.900024,1284.900024,1265.300049,1281.599976,1.25,89,1276.5,Turun
11/9/2017,1279.699951,1286.900024,1272.400024,1276.5,1.25,141,1291.599976,Naik
11/16/2017,1277.5,1295.800049,1274.599976,1291.599976,1.25,141,1282.099976,Turun
11/23/2017,1286.699951,1296.199951,1281.099976,1282.099976,1.25,141,1262.800049,Turun
11/30/2017,1283.099976,1288.599976,1260,1262.800049,1.25,141,1245.400024,Turun
12/7/2017,1262.300049,1262.400024,1236.5,1245.400024,1.25,223,1266.099976,Naik
12/14/2017,1252.900024,1266.599976,1250.300049,1266.099976,1.5,223,1287,Naik
12/21/2017,1266.400024,1287,1264.300049,1287,1.5,223,1316.199951,Naik
12/28/2017,1288.199951,1320.099976,1288.199951,1316.199951,1.5,223,1317.400024,Naik
1/4/2018,1319.400024,1322,1309.599976,1317.400024,1.5,223,1338,Naik
1/11/2018,1317.099976,1338.199951,1316.300049,1338,1.5,151,1355.900024,Naik
1/18/2018,1328.900024,1357.199951,1326,1355.900024,1.5,151,1339,Turun
1/25/2018,1356.300049,1362.400024,1331.800049,1339,1.5,151,1311.599976,Turun
2/1/2018,1343.800049,1352.099976,1310.5,1311.599976,1.5,151,1355.5,Naik
2/8/2018,1317.099976,1355.5,1307,1355.5,1.5,137,1330,Turun
2/15/2018,1352,1361.400024,1324.400024,1330,1.5,137,1315.5,Turun
2/22/2018,1322,1340.5,1312.699951,1315.5,1.5,137,1326,Naik
3/1/2018,1310.400024,1338.099976,1301.800049,1326,1.5,137,1324.400024,Turun
3/8/2018,1324.800049,1326.800049,1313,1324.400024,1.5,394,1320.699951,Turun
3/15/2018,1316.800049,1328.800049,1307.300049,1320.699951,1.5,394,1324.199951,Naik
3/22/2018,1326.599976,1354.400024,1322.400024,1324.199951,1.75,394,1335.800049,Naik
3/29/2018,1324,1347.300049,1321.699951,1335.800049,1.75,394,1356.5,Naik
